Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
IL,8,"Duckworth, Tammy (D)",DEMOCRAT,D+ 8,301,Obama,-17,41,58,,Obama,-24,37,62,-4
IL,9,"Schakowsky, Janice D. (D)",DEMOCRAT,D+15,356,Obama,-32,33,65,,Obama,-38,30,69,-4
IL,10,"Schneider, Bradley S. (D)",DEMOCRAT,D+ 8,310,Obama,-16,41,58,,Obama,-27,36,63,-6
IL,11,"Foster, Bill (D)",DEMOCRAT,D+ 8,305,Obama,-17,41,58,,Obama,-24,37,62,-4
IL,12,"Enyart, William L. (D)",DEMOCRAT,EVEN,250,Obama,(2)#,48,50,,Obama,-11,44,55,-5
IL,13,"DAVIS, RODNEY (R)",REPUBLICAN,EVEN,247,Romney,(0)#,49,49,,Obama,-11,44,55,-6
IL,14,"HULTGREN, RANDY M. (R)",REPUBLICAN,R+ 5,187,Romney,-10,54,44,,Obama,-3,49,50,-6
IL,15,"SHIMKUS, JOHN M. (R)",REPUBLICAN,R+14,79,Romney,-30,64,34,,McCain,-13,55,43,-9
IL,16,"KINZINGER, ADAM (R)",REPUBLICAN,R+ 4,199,Romney,-8,53,45,,Obama,(2)#,48,50,-5
IL,17,"Bustos, Cheri (D)",DEMOCRAT,D+ 7,297,Obama,-17,41,57,,Obama,-22,39,60,-3
IL,18,"SCHOCK, AARON (R)",REPUBLICAN,R+11,112,Romney,-23,61,37,,McCain,-10,54,44,-7
IN,1,"Visclosky, Peter J. (D)",DEMOCRAT,D+10,324,Obama,-24,37,61,,Obama,-28,36,63,-2
IN,2,"WALORSKI, JACKIE (R)",REPUBLICAN,R+ 6,170,Romney,-14,56,42,,Obama,(1)#,49,50,-7
IN,3,"STUTZMAN, MARLIN A. (R)",REPUBLICAN,R+13,88,Romney,-27,63,36,,McCain,-13,56,43,-7
IN,4,"ROKITA, ‰ÛªTODD‰Ûª (R)",REPUBLICAN,R+11,111,Romney,-24,61,37,,McCain,-10,54,45,-8
IN,5,"BROOKS, SUSAN W. (R)",REPUBLICAN,R+ 9,145,Romney,-17,58,41,,McCain,-6,53,47,-6
IN,6,"MESSER, ‰ÛªLUKE‰Ûª (R)",REPUBLICAN,R+12,104,Romney,-23,60,37,,McCain,-12,55,44,-6
IN,7,"Carson, Andre D. (D)",DEMOCRAT,D+13,341,Obama,-28,35,63,,Obama,-34,33,66,-3
IN,8,"BUCSHON, LARRY D. (R)",REPUBLICAN,R+ 8,152,Romney,-19,58,40,,McCain,(2)#,51,48,-9
IN,9,"YOUNG, TODD C. (R)",REPUBLICAN,R+ 9,144,Romney,-17,57,41,,McCain,-6,53,46,-6
IA,1,"Braley, Bruce L. (D)",DEMOCRAT,D+ 5,282,Obama,-14,42,56,,Obama,-18,40,58,-2
IA,2,"Loebsack, Dave (D)",DEMOCRAT,D+ 4,272,Obama,-13,43,56,,Obama,-16,41,57,-1
IA,3,"LATHAM, TOM (R)",REPUBLICAN,EVEN,246,Obama,-4,47,51,OR,Obama,-6,46,52,-1
IA,4,"KING, STEVE (R)",REPUBLICAN,R+ 5,184,Romney,-8,53,45,,McCain,(2)#,50,48,-3
KS,1,"HUELSKAMP, TIM (R)",REPUBLICAN,R+23,18,Romney,-42,70,28,,McCain,-36,67,31,-3
KS,2,"JENKINS, LYNN (R)",REPUBLICAN,R+ 8,155,Romney,-13,55,42,,McCain,-8,53,45,-3
KS,3,"YODER, KEVIN (R)",REPUBLICAN,R+ 6,182,Romney,-10,54,44,,McCain,(1)#,50,49,-5
KS,4,"POMPEO, MIKE (R)",REPUBLICAN,R+14,71,Romney,-26,62,36,,McCain,-19,59,40,-3
KY,1,"WHITFIELD, EDWARD (R)",REPUBLICAN,R+18,40,Romney,-34,66,32,,McCain,-25,62,37,-5
KY,2,"GUTHRIE, S. BRETT (R)",REPUBLICAN,R+16,55,Romney,-28,63,35,,McCain,-24,62,37,-2
KY,3,"Yarmuth, John A. (D)",DEMOCRAT,D+ 4,269,Obama,-13,43,56,,Obama,-13,43,56,0
KY,4,"MASSIE, THOMAS (R)",REPUBLICAN,R+16,52,Romney,-29,63,35,,McCain,-25,62,37,-2
KY,5,"ROGERS, HAROLD ‰ÛªHAL‰Ûª (R)",REPUBLICAN,R+25,15,Romney,-52,75,23,,McCain,-35,67,32,-8
KY,6,"BARR, GARLAND ‰ÛªANDY‰Ûª (R)",REPUBLICAN,R+ 9,146,Romney,-14,56,42,,McCain,-9,54,45,-3
LA,1,"SCALISE, STEVE (R)",REPUBLICAN,R+26,10,Romney,-44,71,27,,McCain,-48,73,25,2
LA,2,"Richmond, Cedric L. (D)",DEMOCRAT,D+23,391,Obama,-53,23,76,,Obama,-48,26,74,2
