,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
190,559945108,1176309149,47,113,N,647,33.3676425,-118.4810428,C2,G5200,Congressional District 47,6,0.168031809,3.595584368,0.16333
191,376799358,283236098,48,113,N,648,33.6194947,-117.9057649,C2,G5200,Congressional District 48,6,0.064129153,1.754660619,0.26175
192,40633785865,8052526,3,113,N,403,32.4238155,-112.4025904,C2,G5200,Congressional District 3,4,3.894242771,14.08109038,0.24681
193,20300636510,138377181,2,113,N,402,31.9166176,-109.9387277,C2,G5200,Congressional District 2,4,1.949261888,7.227858896,0.46888
194,11914050097,18006017,1,113,N,3501,34.7715617,-106.0510913,C2,G5200,Congressional District 1,35,1.174968951,7.603902569,0.25537
195,1320184406,43522348,2,113,N,3102,41.228622,-96.160905,C2,G5200,Congressional District 2,31,0.14645516,2.110660535,0.41312
196,6280435186,90620813,5,113,N,2905,39.141446,-93.7839363,C2,G5200,Congressional District 5,29,0.663799218,6.674860266,0.18722
197,4897040015,165236198,5,113,N,5505,43.1995893,-88.5314618,C2,G5200,Congressional District 5,55,0.560632504,5.465071923,0.23588
198,5148208830,298253980,2,113,N,902,41.653687,-72.2065086,C2,G5200,Congressional District 2,9,0.588685181,4.228067863,0.41382
200,13868561050,959250526,7,113,N,4507,34.0834783,-79.4988485,C2,G5200,Congressional District 7,45,1.448502682,7.894302487,0.29208
201,9524277750,464746305,5,113,N,105,34.7550739,-86.7101631,C2,G5200,Congressional District 5,1,0.983433624,6.988549333,0.25304
